Co,Ti ,Al,Nb+Ta,Mo,Soln T ℃,Soln t hr,Cooling rate,Ag1 T ℃,Ag2 T ℃,Ag2 t hr,Cooling rate,Temp(℃),Stress (MPa),tr(hr)
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,550,900,3235.6
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,600,900,127.8
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,600,800,341.6
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,600,700,2620.3
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,600,600,9663
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,650,700,76.9
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,650,600,345.9
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,650,500,2444.5
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,650,400,6198.4
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,700,500,115.8
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,700,400,274.8
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,700,300,2012.3
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,700,200,7877.5
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,550,900,7698.1
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,600,900,165
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,600,800,841.6
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,600,700,4542.1
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,650,700,115.3
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,650,600,446.2
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,650,500,1846.1
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,650,400,952.4
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,700,500,75.8
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,700,400,354.6
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,700,300,1236.4
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,700,200,3231.4
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,550,900,7698.1
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,600,900,195
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,600,800,567
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,600,700,2332.7
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,600,600,9707.4
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,650,700,102.4
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,650,600,474.2
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,650,500,1872.2
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,650,400,5254.1
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,700,500,104.1
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,700,400,398
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,700,300,1210.1
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,700,200,4456.6
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,550,800,5693.8
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,600,900,89.9
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,600,800,237.5
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,600,700,1728.1
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,600,600,2544.1
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,650,700,64.1
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,650,600,132.7
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,650,500,1177.5
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,650,400,2516.9
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,650,300,6780.8
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,700,500,61.6
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,700,400,282.6
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,700,300,1013.6
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,700,200,3289.5
0.98,1.01,0.51,5.29,3.04,980,1,1,720,620,8,0.0433,620,800,311
0.98,1.01,0.51,5.29,3.04,980,1,1,720,620,8,0.0433,620,850,125.5
0.98,1.01,0.51,5.29,3.04,980,1,1,720,620,8,0.0433,620,900,56.1
0.98,1.01,0.51,5.29,3.04,980,1,1,720,620,8,0.0433,620,950,25.3
0.98,1.01,0.51,5.29,3.04,980,1,1,720,620,8,0.0433,620,650,457
0.98,1.01,0.51,5.29,3.04,980,1,1,720,620,8,0.0433,620,700,412
0.98,1.01,0.51,5.29,3.04,980,1,1,720,620,8,0.0433,620,750,332
0.02,1.95,0.07,5.61,2.63,980,1,1,720,620,8,0.0433,650,700,225
0.02,1.95,0.07,5.61,2.63,980,1,1,720,620,8,0.0433,650,750,92.4
0.02,1.95,0.07,5.61,2.63,980,1,1,720,620,8,0.0433,650,814,4
0.02,1.95,0.07,5.61,2.63,980,1,1,720,620,8,0.0433,675,670,56.15
0.02,1.95,0.07,5.61,2.63,980,1,1,720,620,8,0.0433,675,700,73.07
0.02,1.95,0.07,5.61,2.63,980,1,1,720,620,8,0.0433,675,750,20.38
0.02,1.95,0.07,5.61,2.63,980,1,1,720,620,8,0.0433,700,625,16.28
0.02,1.95,0.07,5.61,2.63,980,1,1,720,620,8,0.0433,700,700,5.1
0.02,1.95,0.07,5.61,2.63,980,1,1,720,620,8,0.0433,700,750,1.7
1,1.12,0.01,5.1,3,982,1,1,718,621,10,0.0433,649,862,13.89
1,1.12,0.01,5.1,3,982,1,1,718,621,10,0.0433,649,920,4.05
1,1.12,0.01,5.1,3,982,1,1,718,621,10,0.0433,649,978,1.43
1,1.12,0.01,5.1,3,982,1,1,718,621,10,0.0433,700,647,11.37
1,1.12,0.01,5.1,3,982,1,1,718,621,10,0.0433,700,698,4.25
1,1.12,0.01,5.1,3,982,1,1,718,621,10,0.0433,700,748,2.14
1,1.12,0.01,5.1,3,982,1,1,718,621,10,0.0433,700,797,0.388
0.21,0.95,0.53,5.06,3.03,1095,1,1,720,620,8,0.0433,650,625,164.8
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,538,855,8473
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,538,923.8,1731
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,538,965.3,815
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,593.3,723.9,2327.6
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,593.3,806.7,367.5
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,593.3,848.1,152
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,593.3,896.3,62
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,593.3,930.7,28.2
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,649,434.37,10232
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,649,468.84,7263
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,649,537.791,3131.5
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,649,599.8,747.2
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,649,661.89,150
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,649,744.6,30.8
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,649,792.89,10.6
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,700,255.1,6048
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,700,303.3,2870.7
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,700,379.2,808
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,700,413.68,476.8
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,700,468.84,182.7
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,700,524,70.5
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,700,592.9,18
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,550,900,3235.6
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,550,900,3235.6
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,600,900,127.8
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,600,800,341.6
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,600,700,2620.3
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,600,600,9663
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,650,700,76.9
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,650,600,345.9
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,650,500,2444.5
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,650,400,6198.4
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,700,500,115.8
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,700,400,274.8
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,700,300,2012.3
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,700,200,7877.5
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,550,900,7698.1
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,600,900,165
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,600,800,841.6
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,600,700,4542.1
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,650,700,115.3
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,650,600,446.2
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,650,500,1846.1
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,650,400,952.4
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,700,500,75.8
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,700,400,354.6
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,700,300,1236.4
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,700,200,3231.4
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,550,900,7698.1
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,600,900,195
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,600,800,567
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,600,700,2332.7
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,600,600,9707.4
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,650,700,102.4
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,650,600,474.2
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,650,500,1872.2
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,650,400,5254.1
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,700,500,104.1
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,700,400,398
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,700,300,1210.1
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,700,200,4456.6
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,550,800,5693.8
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,600,900,89.9
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,600,800,237.5
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,600,700,1728.1
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,600,600,2544.1
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,650,700,64.1
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,650,600,132.7
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,650,500,1177.5
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,650,400,2516.9
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,650,300,6780.8
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,700,500,61.6
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,700,400,282.6
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,700,300,1013.6
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,700,200,3289.5
0.98,1.01,0.51,5.29,3.04,980,1,1,720,620,8,0.0433,620,800,311
0.98,1.01,0.51,5.29,3.04,980,1,1,720,620,8,0.0433,620,850,125.5
0.98,1.01,0.51,5.29,3.04,980,1,1,720,620,8,0.0433,620,900,56.1
0.98,1.01,0.51,5.29,3.04,980,1,1,720,620,8,0.0433,620,950,25.3
0.98,1.01,0.51,5.29,3.04,980,1,1,720,620,8,0.0433,620,650,457
0.98,1.01,0.51,5.29,3.04,980,1,1,720,620,8,0.0433,620,700,412
0.98,1.01,0.51,5.29,3.04,980,1,1,720,620,8,0.0433,620,750,332
0.02,1.95,0.07,5.61,2.63,980,1,1,720,620,8,0.0433,650,700,225
0.02,1.95,0.07,5.61,2.63,980,1,1,720,620,8,0.0433,650,750,92.4
0.02,1.95,0.07,5.61,2.63,980,1,1,720,620,8,0.0433,650,814,4
0.02,1.95,0.07,5.61,2.63,980,1,1,720,620,8,0.0433,675,670,56.15
0.02,1.95,0.07,5.61,2.63,980,1,1,720,620,8,0.0433,675,700,73.07
0.02,1.95,0.07,5.61,2.63,980,1,1,720,620,8,0.0433,675,750,20.38
0.02,1.95,0.07,5.61,2.63,980,1,1,720,620,8,0.0433,700,625,16.28
0.02,1.95,0.07,5.61,2.63,980,1,1,720,620,8,0.0433,700,700,5.1
0.02,1.95,0.07,5.61,2.63,980,1,1,720,620,8,0.0433,700,750,1.7
1,1.12,0.01,5.1,3,982,1,1,718,621,10,0.0433,649,862,13.89
1,1.12,0.01,5.1,3,982,1,1,718,621,10,0.0433,649,920,4.05
1,1.12,0.01,5.1,3,982,1,1,718,621,10,0.0433,649,978,1.43
1,1.12,0.01,5.1,3,982,1,1,718,621,10,0.0433,700,647,11.37
1,1.12,0.01,5.1,3,982,1,1,718,621,10,0.0433,700,698,4.25
1,1.12,0.01,5.1,3,982,1,1,718,621,10,0.0433,700,748,2.14
1,1.12,0.01,5.1,3,982,1,1,718,621,10,0.0433,700,797,0.388
0.21,0.95,0.53,5.06,3.03,1095,1,1,720,620,8,0.0433,650,625,164.8
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,538,855,8473
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,538,923.8,1731
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,538,965.3,815
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,593.3,723.9,2327.6
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,593.3,806.7,367.5
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,593.3,848.1,152
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,593.3,896.3,62
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,593.3,930.7,28.2
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,649,434.37,10232
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,649,468.84,7263
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,649,537.791,3131.5
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,649,599.8,747.2
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,649,661.89,150
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,649,744.6,30.8
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,649,792.89,10.6
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,700,255.1,6048
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,700,303.3,2870.7
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,700,379.2,808
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,700,413.68,476.8
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,700,468.84,182.7
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,700,524,70.5
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,700,592.9,18
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,550,900,3235.6
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,550,900,3235.6
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,600,900,127.8
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,600,800,341.6
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,600,700,2620.3
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,600,600,9663
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,650,700,76.9
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,650,600,345.9
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,650,500,2444.5
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,650,400,6198.4
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,700,500,115.8
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,700,400,274.8
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,700,300,2012.3
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,700,200,7877.5
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,550,900,7698.1
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,600,900,165
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,600,800,841.6
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,600,700,4542.1
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,650,700,115.3
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,650,600,446.2
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,650,500,1846.1
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,650,400,952.4
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,700,500,75.8
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,700,400,354.6
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,700,300,1236.4
0,0.95,0.51,5.32,3.02,960,0.8333,1,720,620,9.5,0.0433,700,200,3231.4
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,550,900,7698.1
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,600,900,195
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,600,800,567
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,600,700,2332.7
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,600,600,9707.4
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,650,700,102.4
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,650,600,474.2
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,650,500,1872.2
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,650,400,5254.1
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,700,500,104.1
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,700,400,398
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,700,300,1210.1
0,0.94,0.55,5.15,3,980,1,0.267,720,620,8.2,0.045,700,200,4456.6
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,550,800,5693.8
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,600,900,89.9
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,600,800,237.5
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,600,700,1728.1
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,600,600,2544.1
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,650,700,64.1
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,650,600,132.7
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,650,500,1177.5
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,650,400,2516.9
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,650,300,6780.8
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,700,500,61.6
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,700,400,282.6
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,700,300,1013.6
0,0.88,0.53,5.07,3,960,1,0.0433,720,620,8,0.0267,700,200,3289.5
0.98,1.01,0.51,5.29,3.04,980,1,1,720,620,8,0.0433,620,800,311
0.98,1.01,0.51,5.29,3.04,980,1,1,720,620,8,0.0433,620,850,125.5
0.98,1.01,0.51,5.29,3.04,980,1,1,720,620,8,0.0433,620,900,56.1
0.98,1.01,0.51,5.29,3.04,980,1,1,720,620,8,0.0433,620,950,25.3
0.98,1.01,0.51,5.29,3.04,980,1,1,720,620,8,0.0433,620,650,457
0.98,1.01,0.51,5.29,3.04,980,1,1,720,620,8,0.0433,620,700,412
0.98,1.01,0.51,5.29,3.04,980,1,1,720,620,8,0.0433,620,750,332
0.02,1.95,0.07,5.61,2.63,980,1,1,720,620,8,0.0433,650,700,225
0.02,1.95,0.07,5.61,2.63,980,1,1,720,620,8,0.0433,650,750,92.4
0.02,1.95,0.07,5.61,2.63,980,1,1,720,620,8,0.0433,650,814,4
0.02,1.95,0.07,5.61,2.63,980,1,1,720,620,8,0.0433,675,670,56.15
0.02,1.95,0.07,5.61,2.63,980,1,1,720,620,8,0.0433,675,700,73.07
0.02,1.95,0.07,5.61,2.63,980,1,1,720,620,8,0.0433,675,750,20.38
0.02,1.95,0.07,5.61,2.63,980,1,1,720,620,8,0.0433,700,625,16.28
0.02,1.95,0.07,5.61,2.63,980,1,1,720,620,8,0.0433,700,700,5.1
0.02,1.95,0.07,5.61,2.63,980,1,1,720,620,8,0.0433,700,750,1.7
1,1.12,0.01,5.1,3,982,1,1,718,621,10,0.0433,649,862,13.89
1,1.12,0.01,5.1,3,982,1,1,718,621,10,0.0433,649,920,4.05
1,1.12,0.01,5.1,3,982,1,1,718,621,10,0.0433,649,978,1.43
1,1.12,0.01,5.1,3,982,1,1,718,621,10,0.0433,700,647,11.37
1,1.12,0.01,5.1,3,982,1,1,718,621,10,0.0433,700,698,4.25
1,1.12,0.01,5.1,3,982,1,1,718,621,10,0.0433,700,748,2.14
1,1.12,0.01,5.1,3,982,1,1,718,621,10,0.0433,700,797,0.388
0.21,0.95,0.53,5.06,3.03,1095,1,1,720,620,8,0.0433,650,625,164.8
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,538,855,8473
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,538,923.8,1731
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,538,965.3,815
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,593.3,723.9,2327.6
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,593.3,806.7,367.5
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,593.3,848.1,152
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,593.3,896.3,62
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,593.3,930.7,28.2
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,649,434.37,10232
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,649,468.84,7263
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,649,537.791,3131.5
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,649,599.8,747.2
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,649,661.89,150
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,649,744.6,30.8
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,649,792.89,10.6
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,700,255.1,6048
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,700,303.3,2870.7
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,700,379.2,808
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,700,413.68,476.8
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,700,468.84,182.7
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,700,524,70.5
0.06,0.76,0.56,5.31,3.03,982,2,0.0433,718,621,8,0.0433,700,592.9,18
0,0.9,0.58,5,3.11,960,0.8333,1,720,620,9.5,0.0433,550,900,3235.6
